Player,Tm,Pos,USG%,3PAr,TOV%,BLK%,TRB%,STL%,FGA,FTA,PTS,PCT_FG_3P,CORNER_PCT_3PA,PCT_AST_2P,PCT_AST_3P,PCT_FG_0-3,DUNK_%FGA,Similarity
Bruce Brown,DEN,SF,17.8,0.343,13.2,2.0,8.3,1.9,15.9,3.3,19.8,0.343,0.398,0.551,0.923,0.266,0.076,1.0
Jaden McDaniels,MIN,SF,15.8,0.376,12.6,2.7,7.1,1.5,14.1,2.8,18.7,0.376,0.506,0.658,0.991,0.288,0.115,0.9218196782650734
Jalen McDaniels,PHI,SF,17.2,0.376,12.1,1.6,9.9,2.1,15.5,3.5,18.9,0.376,0.392,0.578,0.974,0.316,0.076,0.9214094430322123
Christian Braun,DEN,SG,13.0,0.332,9.9,1.3,8.8,1.7,12.0,2.7,14.9,0.332,0.417,0.67,0.941,0.36,0.114,0.8862244622762495
Terance Mann,LAC,SG,15.3,0.378,12.2,1.0,8.3,1.1,13.7,3.1,18.7,0.378,0.495,0.554,0.883,0.33,0.107,0.8840216565679374
Hamidou Diallo,DET,SF,21.8,0.056,13.9,1.4,10.8,2.6,18.2,7.2,25.4,0.056,0.524,0.643,1.0,0.443,0.139,0.8763397286656663
Javonte Green,CHI,SF,13.6,0.324,13.5,4.2,10.4,2.4,11.0,4.6,16.7,0.324,0.457,0.667,1.0,0.481,0.222,0.8730649397065032
Lamar Stevens,CLE,SF,13.6,0.33,7.9,1.6,10.9,1.2,12.9,2.6,14.7,0.33,0.642,0.788,1.0,0.34,0.108,0.8702560887735651
Peyton Watson,DEN,SG,17.7,0.237,10.6,5.2,11.4,0.5,15.5,5.3,19.7,0.237,0.429,0.652,1.0,0.305,0.119,0.8635999575199561
Jeenathan Williams,POR,SG,15.2,0.205,9.0,1.4,6.8,1.2,15.0,1.2,20.3,0.205,0.5,0.667,1.0,0.615,0.154,0.8628950784315751
Romeo Langford,SAS,SG,15.4,0.236,9.6,1.3,7.4,1.3,14.5,3.1,16.6,0.236,0.541,0.543,1.0,0.29,0.054,0.860816360772915
Josh Minott,MIN,SF,18.9,0.167,7.1,5.4,14.6,2.0,17.8,4.0,22.8,0.167,0.5,0.75,1.0,0.389,0.278,0.8424811478962122
